bin1 bin2 count
9 3082 38
9 4996 30
111 4916 39
180 3082 57
222 1928 31
273 2397 38
401 3082 40
402 3082 28
406 2495 27
508 2717 38
534 1666 45
542 1290 28
651 1269 29
657 3999 34
797 1388 27
830 3828 29
957 4122 38
1035 1140 27
1085 1703 27
1085 2309 50
1086 3082 27
1367 4306 28
1388 4008 27
1389 4721 53
1457 3082 65
1541 3048 57
1652 3873 30
1652 4507 34
1685 4538 91
1703 4538 127
1771 3375 30
1810 3660 27
1831 4831 42
1837 4887 58
1914 4369 30
1991 2990 36
2003 3082 61
2009 3082 29
2239 2922 33
2268 4922 33
2309 3082 62
2310 3082 40
2310 4538 110
2321 3082 36
2478 2677 35
2520 2930 31
2520 2931 100
2566 4649 42
2573 3082 28
2803 4361 40
2829 3082 30
2948 3574 52
3082 3570 42
3082 3679 35
3082 3842 45
3082 3843 41
3082 4080 30
3082 4254 234
3082 4465 42
3082 4656 41
3141 4881 30
3141 4882 40
3231 4106 36
3293 4538 118
3319 4953 28
3319 4954 46
3541 3774 27
3679 4254 241
