bin1 bin2 count
8 3082 33
9 3082 35
14 3082 33
19 3082 36
111 4916 32
180 401 38
180 3082 65
273 2397 41
401 3082 44
403 3082 36
404 3082 36
406 3082 31
508 2717 38
534 1666 42
542 1290 36
704 2560 35
758 4538 37
957 4122 32
1035 1140 36
1389 4721 60
1398 2454 31
1457 3082 95
1541 3048 47
1652 4507 31
1685 4538 80
1703 3082 40
1703 4538 152
1704 3082 33
1771 3375 46
1837 4887 34
1879 2206 32
2003 3082 86
2005 3082 35
2011 5287 34
2189 4647 31
2309 3082 86
2310 3082 45
2310 4538 116
2311 3082 38
2520 2930 48
2520 2931 126
2554 3329 48
2573 3082 38
2575 3082 32
2828 3082 35
2859 3569 33
3082 3570 35
3082 3679 40
3082 3842 34
3082 4254 274
3082 4465 56
3082 4466 37
3082 4468 31
3082 4656 50
3231 4106 43
3293 4538 116
3305 4902 38
3319 4954 33
3541 3774 32
3679 4254 287
