bin1 bin2 count
3 1542 47
4 1542 61
5 1542 43
6 1542 41
7 1542 40
9 1542 51
10 1542 41
11 1542 33
13 1542 39
34 1542 37
37 1542 31
55 2462 36
90 201 48
90 1542 67
111 964 32
136 1199 42
201 1542 58
202 1542 62
203 1542 47
207 1542 36
208 1542 38
209 1542 41
210 1542 33
211 1542 37
215 1542 37
216 1542 37
217 1542 34
218 1542 33
222 1542 36
254 1359 45
267 833 46
271 645 37
319 1163 33
352 1280 39
355 1496 32
379 2272 38
383 1542 42
385 1542 33
387 1542 36
388 1542 44
389 1542 38
479 2063 35
518 570 41
543 852 33
543 1155 31
543 1542 44
544 1542 33
545 1542 34
546 1542 33
549 1542 31
550 1542 35
551 1542 31
574 1542 31
677 738 37
695 2364 65
699 1227 33
699 1542 37
704 1542 31
716 1542 31
729 1542 102
771 1525 55
786 1366 34
826 2257 48
843 2272 80
852 1542 68
852 2272 152
853 1542 47
854 1542 36
856 1542 36
857 1542 32
858 1542 31
860 1542 32
861 1542 37
864 1542 36
866 1542 33
870 1542 33
871 1542 33
877 1542 31
878 1542 31
879 1542 32
886 1688 51
916 2419 37
919 2447 36
925 2182 32
940 1103 32
1002 1542 100
1003 1542 60
1004 1542 32
1005 1542 45
1006 2648 34
1018 1542 32
1095 2327 35
1134 2465 37
1155 1542 113
1155 2272 116
1156 1542 57
1157 1542 31
1158 1542 44
1159 1542 44
1160 1542 42
1161 1542 44
1162 1542 40
1163 1542 43
1164 1542 33
1165 1542 32
1166 1542 31
1170 1542 36
1175 1542 42
1178 1542 31
1239 1339 36
1256 1713 35
1260 1466 151
1277 1665 49
1283 2328 43
1287 1542 60
1288 1542 49
1289 1542 42
1290 1542 40
1291 1542 43
1292 1542 31
1293 1542 34
1294 1542 32
1296 1542 32
1297 1542 31
1299 1542 34
1301 1542 31
1304 1542 40
1306 1542 32
1415 1542 54
1416 1542 39
1417 1542 35
1430 1786 34
1542 1786 50
1542 1787 43
1542 1789 35
1542 1790 36
1542 1791 31
1542 1792 38
1542 1793 35
1542 1795 37
1542 1797 31
1542 1841 45
1542 1913 33
1542 1916 38
1542 1917 35
1542 1918 35
1542 1919 32
1542 1920 33
1542 1921 32
1542 1922 38
1542 1923 57
1542 1924 55
1542 1925 33
1542 1926 33
1542 2033 48
1542 2034 36
1542 2035 32
1542 2036 39
1542 2037 38
1542 2038 39
1542 2041 34
1542 2042 40
1542 2044 33
1542 2048 35
1542 2049 39
1542 2057 39
1542 2129 274
1542 2137 40
1542 2138 45
1542 2236 83
1542 2237 47
1542 2238 44
1542 2242 32
1542 2243 42
1542 2245 40
1542 2246 34
1542 2248 32
1542 2250 33
1542 2332 56
1542 2489 33
1543 2166 34
1571 2057 31
1571 2444 35
1616 2055 55
1647 2272 116
1653 2455 42
1660 2481 34
1771 1888 42
1841 2129 287
