bin1 bin2 count p_value
6 3082 42 1.1102230246251565e-16
6 4506 6 2.6248447859700264e-11
7 3082 38 1.1102230246251565e-16
8 2322 5 3.0560906028043178e-09
8 3082 39 1.1102230246251565e-16
9 1086 5 3.0560906028043178e-09
9 2321 6 2.6248447859700264e-11
9 2325 5 3.0560906028043178e-09
9 3082 44 1.1102230246251565e-16
9 4072 5 3.0560906028043178e-09
9 4995 7 1.9273471707492718e-13
9 4996 25 1.1102230246251565e-16
9 4997 5 3.0560906028043178e-09
10 3082 31 1.1102230246251565e-16
11 3082 35 1.1102230246251565e-16
11 4704 5 3.0560906028043178e-09
12 2882 6 2.6248447859700264e-11
12 3082 35 1.1102230246251565e-16
13 3082 29 1.1102230246251565e-16
14 3082 33 1.1102230246251565e-16
15 3082 19 1.1102230246251565e-16
16 1573 6 2.6248447859700264e-11
16 3082 22 1.1102230246251565e-16
17 3082 21 1.1102230246251565e-16
18 3082 24 1.1102230246251565e-16
19 3082 36 1.1102230246251565e-16
19 3234 19 1.1102230246251565e-16
19 3900 6 2.6248447859700264e-11
19 4079 5 3.0560906028043178e-09
20 3082 36 1.1102230246251565e-16
21 3082 29 1.1102230246251565e-16
21 3130 6 2.6248447859700264e-11
21 4254 5 3.0560906028043178e-09
22 2595 5 3.0560906028043178e-09
22 3082 28 1.1102230246251565e-16
22 3600 5 3.0560906028043178e-09
22 3821 5 3.0560906028043178e-09
22 3846 5 3.0560906028043178e-09
22 4508 5 3.0560906028043178e-09
23 3082 18 1.1102230246251565e-16
24 3082 19 1.1102230246251565e-16
25 3082 24 1.1102230246251565e-16
25 4508 6 2.6248447859700264e-11
26 3082 35 1.1102230246251565e-16
26 4207 5 3.0560906028043178e-09
26 4284 5 3.0560906028043178e-09
27 3082 21 1.1102230246251565e-16
28 3082 21 1.1102230246251565e-16
29 1399 11 1.1102230246251565e-16
29 3082 16 1.1102230246251565e-16
30 3082 12 1.1102230246251565e-16
31 3082 19 1.1102230246251565e-16
32 3082 12 1.1102230246251565e-16
33 1712 19 1.1102230246251565e-16
33 1713 6 2.6248447859700264e-11
33 2951 8 1.2212453270876722e-15
33 3082 21 1.1102230246251565e-16
33 3909 6 2.6248447859700264e-11
34 1496 5 3.0560906028043178e-09
34 2951 12 1.1102230246251565e-16
34 3082 19 1.1102230246251565e-16
35 2951 25 1.1102230246251565e-16
35 3082 10 1.1102230246251565e-16
35 3693 5 3.0560906028043178e-09
36 3082 10 1.1102230246251565e-16
36 3379 5 3.0560906028043178e-09
36 3670 5 3.0560906028043178e-09
36 3671 9 1.1102230246251565e-16
37 3082 13 1.1102230246251565e-16
38 3082 12 1.1102230246251565e-16
39 3082 7 1.9273471707492718e-13
41 3082 11 1.1102230246251565e-16
42 3082 16 1.1102230246251565e-16
43 2375 18 1.1102230246251565e-16
43 3082 21 1.1102230246251565e-16
44 3082 17 1.1102230246251565e-16
45 1584 5 3.0560906028043178e-09
45 2814 9 1.1102230246251565e-16
