bin1 bin2 count
1416 3082 10
1417 3082 14
1418 3082 8
1419 3082 11
1420 3082 8
1422 3082 11
1423 3082 11
1427 3082 9
1429 4877 11
1431 3082 9
1432 3082 8
1433 3082 9
1434 3082 8
1435 3082 13
1436 3082 11
1437 3082 16
1438 3082 8
1445 3082 9
1450 3082 8
1452 3082 10
1453 3082 8
1455 3082 10
1456 3082 15
1457 3082 75
1458 3082 12
1459 3082 10
1465 2007 9
1474 5115 8
1478 2439 9
1492 1860 9
1502 4721 11
1503 3082 9
1530 3033 9
1540 3048 10
1541 3048 36
1554 2456 10
1567 3526 10
1572 2731 28
1576 4272 9
1621 2140 8
1652 3873 20
1652 3874 13
1652 4507 25
1663 1705 10
1682 5091 10
1685 2838 20
1685 3293 11
1685 4538 47
1690 2448 12
1703 3082 37
1703 4268 9
1703 4538 105
1704 3082 48
1705 3082 30
1706 3082 32
1707 3082 27
1708 3082 23
1709 3082 26
1710 3082 23
1711 3082 14
1711 4576 9
1712 3082 17
1713 3082 31
1714 3082 13
1714 4299 10
1715 3082 9
1716 3082 11
1717 3082 13
1718 3082 17
1719 3082 9
1720 3082 20
1721 3082 22
1722 3082 16
1723 3082 17
1724 3082 17
1725 3082 21
1726 3082 21
1727 3082 16
1728 3082 19
1729 3082 17
1730 3082 11
1731 3082 18
1732 2373 8
1732 3082 20
1733 3082 16
1734 3082 16
1735 3082 13
1736 3082 19
1737 3082 12
1738 3082 11
1739 3082 14
1740 3082 23
1741 3082 20
1742 3082 14
1743 3082 16
1744 3082 13
1745 3082 17
1746 3082 11
1747 3082 11
1749 2364 12
1749 3082 12
1750 2364 9
1750 3082 22
1751 3082 16
1752 3082 10
1753 3082 17
1755 3082 11
1756 3082 13
1757 3082 13
1758 3082 13
1759 3082 12
1760 3082 16
1762 3082 8
1763 3082 9
1764 3082 12
1766 3082 10
1767 3082 9
1769 3082 8
1771 3082 9
1771 3375 41
1772 3082 12
1773 3082 8
1775 3082 9
1776 3082 9
1780 3082 10
1787 3082 8
1789 3082 8
1790 3082 8
1793 3082 9
1797 4566 8
1803 3082 8
1804 4948 9
1810 3660 11
1829 3168 28
1831 4831 18
1832 4831 9
1837 4887 32
1845 4078 12
1849 4358 19
1851 2641 9
1858 2812 12
1879 2206 12
1880 4890 11
1914 4369 11
1921 3289 8
1927 5134 14
1963 2379 11
1965 4815 9
1978 3879 13
1991 2990 24
2003 3082 66
2003 4254 19
2004 3082 22
2005 3082 29
2005 4254 8
2006 3082 29
2006 4254 10
2007 3082 26
2008 3082 12
2009 3082 28
2010 3082 27
2011 2814 16
2011 3082 14
2011 5287 10
2018 3082 18
2019 3082 9
2021 3082 20
2022 3082 19
2023 3082 21
2024 3082 26
2025 3082 13
2026 3082 18
2027 3082 12
2029 3082 10
2030 3082 26
2031 3082 20
2032 3082 15
2033 3082 8
2034 3082 17
2035 3082 13
2036 3082 20
2037 3082 24
2038 3082 13
2045 3082 11
2046 2392 12
2046 3082 11
2047 3082 18
2048 3082 16
2049 3082 19
2050 3082 12
2051 3082 8
2052 3082 12
2053 3082 9
2054 3082 17
2054 4254 9
2055 2627 8
2055 3082 14
2056 3082 13
2057 3082 14
2058 3082 21
2059 3082 9
2060 3082 12
2061 3479 8
2066 3082 8
2067 3082 14
2068 3082 10
2071 3082 8
2072 3082 12
2073 3082 11
2090 3082 11
2091 3082 11
2098 3082 12
2101 3082 10
2105 3082 8
2163 4019 8
2170 4214 8
2175 3082 9
2183 4072 8
2189 2322 12
2189 4647 20
2201 2426 8
2204 4400 23
2215 2661 18
2220 3560 25
2221 3103 8
2239 2922 15
2264 3679 8
2268 4922 21
2269 3278 8
2271 4295 10
2309 3082 69
2309 4254 17
2310 3082 45
2310 4254 9
2310 4538 87
2311 2652 14
2311 3082 47
2311 4254 10
2312 3082 35
2312 3569 9
2313 3082 30
2314 3082 33
2315 3082 35
2316 3082 24
2317 3016 8
2317 3082 25
2318 3082 24
2319 3082 25
2320 3082 33
2321 3082 35
2322 3082 32
2323 3082 28
2323 3619 8
2324 3082 26
2325 3082 19
2326 3082 27
2327 3082 18
2328 3082 21
2329 3082 24
2330 3082 28
2331 3082 23
2331 4254 9
2332 3082 24
2333 3082 21
2334 3082 15
2335 3082 16
2336 3082 20
2337 3082 20
2338 3082 17
2339 3082 20
2340 3082 28
2341 3082 11
2349 3082 17
2350 3082 22
2351 3082 13
2352 3082 18
2353 3082 19
2354 3082 21
2355 3082 21
2356 3082 16
2357 3082 19
2358 3082 14
2359 3082 19
2360 3082 13
2361 2720 8
2361 2892 9
2362 3082 15
2363 3082 14
2364 3082 10
2365 3082 10
2366 3082 12
2367 3082 9
2369 3082 14
2371 3082 8
2372 3082 19
2373 3082 11
2374 3082 18
2376 3082 10
2378 3082 14
2379 3082 8
2383 3082 10
2384 3082 8
2386 3082 9
2393 3082 10
2394 3082 10
2397 3082 11
2398 3082 16
2399 3082 12
2400 3082 8
2401 3571 10
2405 3082 8
2423 3082 10
2434 4499 10
2437 4970 8
2441 2844 10
2453 3082 10
2458 3907 9
2478 2677 12
2494 3214 16
2510 3424 11
2511 3424 28
2519 3390 8
2520 2930 24
2520 2931 85
2554 3329 29
2565 4649 14
2566 4649 14
2573 3082 33
2574 3082 25
2575 3082 30
2576 3082 24
2577 3082 23
2578 2930 10
2578 3082 21
2578 3498 8
2579 3082 21
2580 3082 14
2581 3082 30
2582 3082 29
2583 3082 14
2584 3082 24
2585 3082 18
2586 3082 14
2587 3082 15
2588 3082 14
2589 3082 24
2590 3082 23
2591 3082 16
2592 3082 28
2593 3082 19
2594 3082 18
2595 3082 17
2596 3082 14
2597 3082 11
2598 3082 10
2599 3082 13
2600 3082 14
2601 3082 15
2602 3082 13
2603 3082 23
2604 3082 11
2605 3082 8
2605 5117 9
2607 3082 17
2608 3082 13
2609 3082 10
2610 3082 10
2611 3082 15
2612 3082 20
2613 3082 16
2614 3082 8
2616 3082 9
2618 3082 8
2620 3082 15
2622 3082 8
2623 3082 9
2625 3082 11
2627 3082 12
2628 3082 14
2629 3082 13
2630 3082 10
2632 3082 12
2633 3082 9
2635 3082 10
2636 3082 8
2637 3082 14
2640 3082 9
2641 3082 11
2642 3082 10
2645 3158 8
2646 3082 10
2650 3082 9
2653 3082 8
2656 3082 8
2658 3082 9
2660 3082 8
2661 3082 9
2677 3082 10
2678 3082 8
2679 3082 8
2680 3082 8
2696 5220 11
2697 3082 9
2702 4629 18
2713 5149 10
2724 3118 11
2732 3641 16
2742 4388 12
2780 4353 12
2803 4361 30
2803 4362 9
2814 5287 8
2822 3082 18
2823 3082 14
2824 3082 17
2825 3082 15
2826 3082 16
2827 3082 17
2828 3082 17
2829 3082 23
2830 3082 21
2831 3082 14
2832 3082 14
2833 3082 16
2834 3082 18
2835 3082 10
2836 3082 10
2837 3082 10
2838 3082 19
2838 4538 8
2839 3082 10
2840 3082 21
2841 3082 18
2842 3082 17
2843 3082 16
2844 3082 15
2845 3082 10
2846 3082 13
2847 3082 11
2847 3110 9
2848 3082 8
2849 3082 17
2850 3082 11
2850 4905 11
2851 3082 18
2852 3082 12
2853 3082 11
2854 3082 14
2855 3082 11
2856 3082 10
2857 3082 10
2859 3082 11
2860 3082 11
2861 3082 16
2862 3082 12
2863 3082 8
2864 3082 17
2866 3082 11
2867 3082 14
2868 3082 12
2869 3082 10
2871 3082 10
2872 3082 8
2876 3082 11
2876 4807 12
2878 3082 9
2879 3082 9
2886 3082 8
2892 3082 8
2897 3082 8
2898 3082 9
2899 3082 9
2902 3082 8
2905 3082 9
2948 3574 23
2992 4078 10
3003 4337 9
3030 4606 13
3075 4954 8
3082 3326 11
3082 3327 8
3082 3328 8
3082 3329 15
3082 3330 10
3082 3332 12
3082 3333 12
3082 3334 10
3082 3335 11
3082 3336 15
3082 3338 9
3082 3339 12
3082 3340 9
3082 3342 9
3082 3343 14
3082 3345 10
3082 3346 9
3082 3347 9
3082 3352 8
3082 3353 9
3082 3382 9
3082 3392 8
3082 3569 21
3082 3570 31
3082 3571 25
3082 3572 19
3082 3573 23
3082 3574 27
3082 3575 16
3082 3576 17
3082 3577 18
3082 3578 23
3082 3579 16
3082 3580 25
3082 3581 20
3082 3582 21
3082 3583 18
3082 3584 14
3082 3585 16
3082 3586 27
3082 3587 24
3082 3588 11
3082 3590 16
3082 3591 15
3082 3592 13
3082 3593 11
3082 3594 16
3082 3595 13
3082 3596 16
3082 3597 14
3082 3598 18
3082 3599 14
3082 3600 11
3082 3601 11
3082 3602 11
3082 3603 15
3082 3604 13
3082 3605 13
3082 3606 12
3082 3607 11
3082 3609 14
3082 3610 19
3082 3611 14
3082 3612 14
3082 3614 8
3082 3615 9
3082 3620 11
3082 3622 9
3082 3624 8
3082 3625 9
3082 3630 9
3082 3635 8
3082 3638 9
3082 3639 10
3082 3640 8
3082 3648 10
3082 3649 9
3082 3656 9
3082 3658 9
3082 3659 9
3082 3667 8
3082 3679 30
3082 3689 8
3082 3821 11
3082 3822 20
3082 3823 14
3082 3824 22
3082 3825 16
3082 3826 12
