bin1 bin2 count p_value
6 3082 27 1.1102230246251565e-16
6 3116 5 2.636882934226037e-10
6 4506 8 1.1102230246251565e-16
7 3082 24 1.1102230246251565e-16
7 4506 7 6.217248937900877e-15
8 3082 33 1.1102230246251565e-16
9 1218 6 1.382449710263245e-12
9 3082 35 1.1102230246251565e-16
9 3090 5 2.636882934226037e-10
9 4079 5 2.636882934226037e-10
9 4466 5 2.636882934226037e-10
9 4996 13 1.1102230246251565e-16
10 3082 24 1.1102230246251565e-16
11 3082 24 1.1102230246251565e-16
12 2882 6 1.382449710263245e-12
12 3082 26 1.1102230246251565e-16
13 3082 19 1.1102230246251565e-16
14 3082 33 1.1102230246251565e-16
15 3082 14 1.1102230246251565e-16
16 3082 13 1.1102230246251565e-16
17 3082 14 1.1102230246251565e-16
18 3082 17 1.1102230246251565e-16
19 2350 7 6.217248937900877e-15
19 2698 5 2.636882934226037e-10
19 3082 36 1.1102230246251565e-16
19 3122 6 1.382449710263245e-12
19 3234 8 1.1102230246251565e-16
19 3847 6 1.382449710263245e-12
19 4350 7 6.217248937900877e-15
20 3082 29 1.1102230246251565e-16
21 1148 6 1.382449710263245e-12
21 3082 19 1.1102230246251565e-16
21 3376 6 1.382449710263245e-12
22 3082 23 1.1102230246251565e-16
22 4303 5 2.636882934226037e-10
23 3082 17 1.1102230246251565e-16
24 770 5 2.636882934226037e-10
24 3082 16 1.1102230246251565e-16
25 3082 14 1.1102230246251565e-16
26 1479 5 2.636882934226037e-10
26 2044 5 2.636882934226037e-10
26 2656 6 1.382449710263245e-12
26 3082 24 1.1102230246251565e-16
26 3084 5 2.636882934226037e-10
26 3115 5 2.636882934226037e-10
26 3603 5 2.636882934226037e-10
26 3660 5 2.636882934226037e-10
26 4297 5 2.636882934226037e-10
27 3082 18 1.1102230246251565e-16
28 3082 12 1.1102230246251565e-16
29 3082 9 1.1102230246251565e-16
30 3082 8 1.1102230246251565e-16
31 3082 16 1.1102230246251565e-16
31 3656 5 2.636882934226037e-10
32 3082 16 1.1102230246251565e-16
33 1712 14 1.1102230246251565e-16
33 3082 17 1.1102230246251565e-16
33 3329 5 2.636882934226037e-10
34 2951 8 1.1102230246251565e-16
34 3082 19 1.1102230246251565e-16
35 2951 20 1.1102230246251565e-16
35 3082 14 1.1102230246251565e-16
36 3082 15 1.1102230246251565e-16
37 3082 15 1.1102230246251565e-16
38 3082 12 1.1102230246251565e-16
39 3082 15 1.1102230246251565e-16
40 3082 14 1.1102230246251565e-16
41 3082 14 1.1102230246251565e-16
42 3082 17 1.1102230246251565e-16
43 2375 11 1.1102230246251565e-16
43 3082 10 1.1102230246251565e-16
44 3082 11 1.1102230246251565e-16
45 1584 7 6.217248937900877e-15
45 2814 5 2.636882934226037e-10
45 3082 9 1.1102230246251565e-16
46 3082 16 1.1102230246251565e-16
47 1886 6 1.382449710263245e-12
47 3082 13 1.1102230246251565e-16
48 3082 18 1.1102230246251565e-16
49 3082 8 1.1102230246251565e-16
50 3082 9 1.1102230246251565e-16
51 3082 14 1.1102230246251565e-16
52 3082 5 2.636882934226037e-10
53 3082 7 6.217248937900877e-15
54 3082 9 1.1102230246251565e-16
55 3082 12 1.1102230246251565e-16
56 3082 7 6.217248937900877e-15
57 3082 10 1.1102230246251565e-16
59 3082 16 1.1102230246251565e-16
60 3082 11 1.1102230246251565e-16
61 3082 17 1.1102230246251565e-16
62 3082 5 2.636882934226037e-10
63 3082 7 6.217248937900877e-15
64 3082 10 1.1102230246251565e-16
