cell_nm	passed_qc	group
1CDX4_25	1	late-S/G2
1CDX4_26	1	late-S/G2
1CDX4_27	1	late-S/G2
1CDX4_28	0	NA
1CDX4_31	1	late-S/G2
1CDX4_32	1	late-S/G2
1CDX4_33	1	late-S/G2
1CDX4_34	1	late-S/G2
1CDX4_35	1	early-S
1CDX4_36	1	pre-M
1CDX4_37	1	late-S/G2
1CDX4_38	1	late-S/G2
1CDX4_41	1	late-S/G2
1CDX4_42	1	late-S/G2
1CDX4_43	1	late-S/G2
1CDX4_44	0	NA
1CDX4_45	1	late-S/G2
1CDX4_46	1	late-S/G2
1CDX4_47	1	late-S/G2
1CDX4_48	1	pre-M
1CDX4_51	1	late-S/G2
1CDX4_52	1	late-S/G2
1CDX4_53	1	post-M
1CDX4_54	1	late-S/G2
1CDX4_55	1	late-S/G2
1CDX4_56	0	NA
1CDX4_57	1	late-S/G2
