cell_nm	passed_qc	group
1CDX2_56	1	early-S
1CDX2_57	1	early-S
1CDX2_58	1	early-S
1CDX2_61	0	NA
1CDX2_62	1	early-S
1CDX2_63	1	early-S
1CDX2_64	1	early-S
1CDX2_65	1	early-S
1CDX2_66	0	NA
1CDX2_67	1	early-S
1CDX2_68	0	NA
1CDX2_71	0	NA
1CDX2_72	1	early-S
1CDX2_73	1	G1
1CDX2_74	1	early-S
1CDX2_75	1	early-S
1CDX2_76	1	early-S
1CDX2_77	1	early-S
1CDX2_78	0	NA
1CDX2_81	0	NA
1CDX2_82	1	early-S
1CDX2_83	1	early-S
1CDX2_84	1	early-S
1CDX2_85	1	early-S
1CDX2_86	1	early-S
1CDX2_87	1	early-S
1CDX2_88	0	NA
1CDX2_91	1	early-S
1CDX2_92	1	early-S
1CDX2_93	1	early-S
1CDX2_94	1	early-S
1CDX2_95	1	early-S
1CDX2_96	1	G1
1CDX2_97	1	early-S
1CDX2_98	0	NA
1CDX2_101	1	early-S
1CDX2_102	1	early-S
1CDX2_103	1	early-S
1CDX2_104	1	early-S
1CDX2_105	1	early-S
1CDX2_106	1	early-S
1CDX2_107	1	early-S
1CDX2_108	1	early-S
1CDX2_111	0	NA
1CDX2_112	1	early-S
1CDX2_113	1	early-S
1CDX2_114	1	early-S
1CDX2_115	1	late-S/G2
1CDX2_116	1	early-S
1CDX2_117	1	early-S
1CDX2_118	0	NA
1CDX2_121	1	early-S
1CDX2_122	1	early-S
1CDX2_123	1	early-S
1CDX2_124	1	early-S
1CDX2_125	1	early-S
1CDX2_126	1	early-S
1CDX2_127	0	NA
1CDX2_128	0	NA
1CDX2_131	1	early-S
1CDX2_132	1	early-S
1CDX2_133	1	early-S
1CDX2_134	1	early-S
1CDX2_135	1	early-S
1CDX2_136	1	early-S
1CDX2_137	1	early-S
1CDX2_138	0	NA
1CDX2_141	1	early-S
1CDX2_142	1	early-S
1CDX2_143	0	NA
1CDX2_144	1	early-S
1CDX2_145	1	early-S
1CDX2_146	1	early-S
1CDX2_147	1	early-S
1CDX2_148	0	NA
1CDX2_151	1	early-S
1CDX2_152	0	NA
1CDX2_153	0	NA
1CDX2_154	1	early-S
1CDX2_155	1	early-S
1CDX2_156	1	early-S
1CDX2_157	1	early-S
1CDX2_158	0	NA
1CDX2_161	0	NA
1CDX2_162	1	early-S
1CDX2_163	1	early-S
1CDX2_164	1	early-S
1CDX2_165	1	early-S
1CDX2_166	1	G1
1CDX2_167	1	early-S
