cell_nm	passed_qc	group
1CDS1_591	0	NA
1CDS1_592	1	late-S/G2
1CDS1_593	1	early-S
1CDS1_594	1	late-S/G2
1CDS1_595	0	NA
1CDS1_596	1	early-S
1CDS1_597	0	NA
1CDS1_598	0	NA
1CDS1_601	1	early-S
1CDS1_602	1	early-S
1CDS1_603	1	early-S
1CDS1_604	1	late-S/G2
1CDS1_605	1	late-S/G2
1CDS1_606	0	NA
1CDS1_607	1	early-S
1CDS1_608	0	NA
1CDS1_611	0	NA
1CDS1_612	0	NA
1CDS1_613	0	NA
1CDS1_614	1	G1
1CDS1_615	1	late-S/G2
1CDS1_616	0	NA
1CDS1_617	0	NA
1CDS1_618	1	late-S/G2
1CDS1_621	0	NA
1CDS1_622	0	NA
1CDS1_623	0	NA
1CDS1_624	0	NA
1CDS1_625	1	early-S
1CDS1_626	0	NA
1CDS1_627	0	NA
1CDS1_628	0	NA
1CDS1_631	0	NA
1CDS1_632	0	NA
1CDS1_633	1	G1
1CDS1_634	1	late-S/G2
1CDS1_635	0	NA
1CDS1_636	0	NA
1CDS1_637	0	NA
1CDS1_638	0	NA
1CDS1_641	1	early-S
1CDS1_642	1	early-S
1CDS1_643	1	late-S/G2
1CDS1_644	0	NA
1CDS1_645	1	G1
1CDS1_646	0	NA
1CDS1_647	0	NA
1CDS1_648	0	NA
1CDS1_651	0	NA
1CDS1_652	0	NA
1CDS1_653	1	early-S
1CDS1_654	0	NA
1CDS1_655	1	late-S/G2
1CDS1_656	0	NA
1CDS1_657	0	NA
1CDS1_658	0	NA
1CDS1_661	1	early-S
1CDS1_662	1	G1
1CDS1_663	1	late-S/G2
1CDS1_664	1	late-S/G2
1CDS1_665	0	NA
1CDS1_666	0	NA
1CDS1_667	0	NA
1CDS1_668	1	early-S
1CDS1_671	0	NA
1CDS1_672	1	late-S/G2
1CDS1_673	0	NA
1CDS1_674	0	NA
1CDS1_675	1	early-S
1CDS1_676	1	early-S
1CDS1_677	1	late-S/G2
1CDS1_678	1	early-S
1CDS1_681	0	NA
1CDS1_682	1	early-S
1CDS1_683	1	late-S/G2
1CDS1_684	1	early-S
1CDS1_685	0	NA
1CDS1_686	0	NA
1CDS1_687	1	early-S
1CDS1_688	0	NA
1CDS1_691	0	NA
1CDS1_692	0	NA
1CDS1_693	1	early-S
1CDS1_694	0	NA
1CDS1_695	1	early-S
1CDS1_696	1	early-S
1CDS1_697	1	late-S/G2
1CDS1_698	0	NA
1CDS1_701	0	NA
1CDS1_702	0	NA
1CDS1_703	0	NA
1CDS1_704	1	G1
1CDS1_705	1	early-S
1CDS1_706	0	NA
1CDS1_707	1	early-S
1CDS1_708	1	late-S/G2
1CDS1_711	0	NA
1CDS1_712	1	late-S/G2
1CDS1_713	1	early-S
1CDS1_714	1	early-S
1CDS1_715	1	G1
1CDS1_716	1	early-S
1CDS1_717	1	late-S/G2
1CDS1_718	0	NA
1CDS1_721	0	NA
1CDS1_722	1	early-S
1CDS1_723	1	late-S/G2
1CDS1_724	1	early-S
1CDS1_725	1	late-S/G2
1CDS1_726	0	NA
1CDS1_727	1	early-S
1CDS1_728	0	NA
1CDS1_731	1	early-S
1CDS1_732	1	early-S
1CDS1_733	0	NA
1CDS1_734	1	early-S
1CDS1_735	1	early-S
1CDS1_736	1	late-S/G2
1CDS1_737	1	early-S
1CDS1_738	0	NA
1CDS2_1	1	G1
1CDS2_2	1	late-S/G2
1CDS2_3	1	late-S/G2
1CDS2_4	1	late-S/G2
1CDS2_5	1	early-S
1CDS2_6	1	G1
1CDS2_7	1	G1
1CDS2_8	1	early-S
1CDS2_9	1	early-S
1CDS2_10	1	late-S/G2
1CDS2_11	1	G1
1CDS2_12	1	early-S
1CDS2_21	0	NA
1CDS2_22	1	G1
1CDS2_23	1	late-S/G2
1CDS2_24	1	G1
1CDS2_25	1	late-S/G2
1CDS2_26	1	pre-M
1CDS2_27	1	early-S
1CDS2_28	0	NA
1CDS2_31	1	late-S/G2
1CDS2_32	1	late-S/G2
1CDS2_33	1	late-S/G2
1CDS2_34	1	early-S
1CDS2_35	0	NA
1CDS2_36	1	late-S/G2
1CDS2_37	1	pre-M
1CDS2_38	0	NA
1CDS2_41	1	late-S/G2
1CDS2_42	1	pre-M
1CDS2_43	1	late-S/G2
1CDS2_44	1	early-S
1CDS2_45	1	late-S/G2
1CDS2_46	1	late-S/G2
1CDS2_47	1	early-S
1CDS2_48	1	early-S
1CDS2_51	1	G1
1CDS2_52	1	late-S/G2
1CDS2_53	1	early-S
1CDS2_54	1	late-S/G2
1CDS2_55	1	late-S/G2
1CDS2_56	1	late-S/G2
1CDS2_57	1	G1
1CDS2_58	1	early-S
1CDS2_61	1	early-S
1CDS2_62	1	late-S/G2
1CDS2_63	1	G1
1CDS2_64	1	late-S/G2
1CDS2_65	1	G1
1CDS2_66	0	NA
1CDS2_67	1	early-S
1CDS2_68	0	NA
1CDS2_71	0	NA
1CDS2_72	1	post-M
1CDS2_73	1	late-S/G2
1CDS2_74	1	late-S/G2
1CDS2_75	1	early-S
1CDS2_76	1	early-S
1CDS2_77	1	late-S/G2
1CDS2_78	0	NA
1CDS2_81	1	late-S/G2
1CDS2_82	1	late-S/G2
1CDS2_83	1	late-S/G2
1CDS2_84	1	late-S/G2
1CDS2_85	1	early-S
1CDS2_86	1	G1
1CDS2_87	1	late-S/G2
1CDS2_88	1	early-S
1CDS2_91	1	G1
1CDS2_92	1	early-S
1CDS2_93	1	late-S/G2
1CDS2_94	1	late-S/G2
1CDS2_95	1	late-S/G2
1CDS2_96	1	late-S/G2
1CDS2_97	1	late-S/G2
1CDS2_98	1	early-S
1CDS2_101	1	late-S/G2
1CDS2_102	1	late-S/G2
1CDS2_103	1	late-S/G2
1CDS2_104	1	late-S/G2
1CDS2_105	1	early-S
1CDS2_106	1	late-S/G2
1CDS2_107	1	late-S/G2
1CDS2_108	1	late-S/G2
1CDS2_111	1	pre-M
1CDS2_112	0	NA
1CDS2_113	1	early-S
1CDS2_114	1	early-S
1CDS2_115	1	late-S/G2
1CDS2_116	1	G1
1CDS2_117	1	late-S/G2
1CDS2_118	1	late-S/G2
1CDS2_121	0	NA
1CDS2_122	1	late-S/G2
1CDS2_123	0	NA
1CDS2_124	1	pre-M
1CDS2_125	1	late-S/G2
1CDS2_126	0	NA
1CDS2_127	1	late-S/G2
1CDS2_128	0	NA
1CDS2_131	0	NA
1CDS2_132	0	NA
1CDS2_133	1	G1
1CDS2_134	0	NA
1CDS2_135	1	late-S/G2
1CDS2_136	1	late-S/G2
1CDS2_137	1	late-S/G2
1CDS2_138	0	NA
1CDS2_141	1	G1
1CDS2_142	1	late-S/G2
1CDS2_143	1	late-S/G2
1CDS2_144	1	late-S/G2
1CDS2_145	1	late-S/G2
1CDS2_146	1	late-S/G2
1CDS2_147	0	NA
1CDS2_148	1	late-S/G2
1CDS2_151	0	NA
1CDS2_152	1	late-S/G2
1CDS2_153	1	late-S/G2
1CDS2_154	1	late-S/G2
1CDS2_155	1	early-S
1CDS2_156	1	G1
1CDS2_157	1	late-S/G2
1CDS2_158	1	late-S/G2
1CDS2_161	0	NA
1CDS2_162	1	late-S/G2
1CDS2_163	1	late-S/G2
1CDS2_164	1	late-S/G2
1CDS2_165	1	late-S/G2
1CDS2_166	0	NA
1CDS2_167	1	late-S/G2
1CDS2_168	1	early-S
1CDS2_171	0	NA
1CDS2_172	1	early-S
1CDS2_173	0	NA
1CDS2_174	1	early-S
1CDS2_175	1	late-S/G2
1CDS2_176	1	early-S
1CDS2_177	0	NA
1CDS2_178	0	NA
1CDS2_181	1	early-S
1CDS2_182	0	NA
1CDS2_183	0	NA
1CDS2_184	1	late-S/G2
1CDS2_185	1	late-S/G2
1CDS2_186	0	NA
1CDS2_187	1	early-S
1CDS2_188	0	NA
1CDS2_191	1	G1
1CDS2_192	0	NA
1CDS2_193	1	late-S/G2
1CDS2_194	1	late-S/G2
1CDS2_195	0	NA
1CDS2_196	1	late-S/G2
1CDS2_197	0	NA
1CDS2_198	0	NA
1CDS2_201	0	NA
1CDS2_202	1	G1
1CDS2_203	0	NA
1CDS2_204	1	late-S/G2
1CDS2_205	1	late-S/G2
1CDS2_206	1	late-S/G2
1CDS2_207	0	NA
1CDS2_208	0	NA
1CDS2_211	0	NA
1CDS2_212	0	NA
1CDS2_213	0	NA
1CDS2_214	1	late-S/G2
1CDS2_215	1	late-S/G2
1CDS2_216	1	G1
1CDS2_217	0	NA
1CDS2_218	0	NA
1CDS2_221	0	NA
1CDS2_222	0	NA
1CDS2_223	1	late-S/G2
1CDS2_224	0	NA
1CDS2_225	0	NA
1CDS2_226	0	NA
1CDS2_227	0	NA
1CDS2_228	0	NA
1CDS2_231	1	late-S/G2
1CDS2_232	0	NA
1CDS2_233	0	NA
1CDS2_234	1	late-S/G2
1CDS2_235	0	NA
1CDS2_236	1	G1
1CDS2_237	0	NA
1CDS2_238	0	NA
1CDS2_241	0	NA
1CDS2_242	0	NA
1CDS2_243	1	late-S/G2
1CDS2_244	0	NA
1CDS2_245	0	NA
1CDS2_246	0	NA
1CDS2_247	0	NA
1CDS2_248	1	post-M
1CDS2_251	0	NA
1CDS2_252	0	NA
1CDS2_253	1	late-S/G2
1CDS2_254	1	late-S/G2
1CDS2_255	0	NA
1CDS2_256	0	NA
1CDS2_257	0	NA
1CDS2_258	0	NA
1CDS2_261	0	NA
1CDS2_262	0	NA
1CDS2_263	1	late-S/G2
1CDS2_264	1	late-S/G2
1CDS2_265	1	late-S/G2
1CDS2_266	1	late-S/G2
1CDS2_267	1	late-S/G2
1CDS2_268	0	NA
1CDS2_271	0	NA
1CDS2_272	0	NA
1CDS2_273	0	NA
1CDS2_274	1	early-S
1CDS2_275	1	pre-M
1CDS2_276	1	G1
1CDS2_277	1	late-S/G2
1CDS2_278	0	NA
1CDS2_281	0	NA
1CDS2_282	0	NA
1CDS2_283	0	NA
1CDS2_284	0	NA
1CDS2_285	1	late-S/G2
1CDS2_286	1	late-S/G2
1CDS2_287	0	NA
1CDS2_288	0	NA
1CDS2_291	0	NA
1CDS2_292	0	NA
1CDS2_293	0	NA
1CDS2_294	1	G1
1CDS2_295	1	late-S/G2
1CDS2_296	1	late-S/G2
1CDS2_297	1	late-S/G2
1CDS2_298	0	NA
1CDS2_301	1	late-S/G2
1CDS2_302	1	late-S/G2
1CDS2_303	0	NA
1CDS2_304	1	late-S/G2
1CDS2_305	1	G1
1CDS2_306	1	late-S/G2
1CDS2_307	1	late-S/G2
1CDS2_308	0	NA
1CDS2_311	1	early-S
1CDS2_312	1	early-S
1CDS2_313	1	G1
1CDS2_314	1	G1
1CDS2_315	1	late-S/G2
1CDS2_316	1	early-S
1CDS2_317	1	early-S
1CDS2_318	0	NA
1CDS2_321	1	late-S/G2
1CDS2_322	1	early-S
1CDS2_323	1	early-S
1CDS2_324	0	NA
1CDS2_325	1	late-S/G2
1CDS2_326	0	NA
1CDS2_327	1	late-S/G2
1CDS2_328	0	NA
1CDS2_331	1	late-S/G2
1CDS2_332	1	G1
1CDS2_333	1	early-S
1CDS2_334	1	late-S/G2
1CDS2_335	1	early-S
1CDS2_336	1	G1
1CDS2_337	1	early-S
1CDS2_338	0	NA
1CDS2_341	1	late-S/G2
1CDS2_342	1	late-S/G2
1CDS2_343	1	late-S/G2
1CDS2_344	1	late-S/G2
1CDS2_345	1	early-S
1CDS2_346	1	late-S/G2
1CDS2_347	1	late-S/G2
1CDS2_348	0	NA
1CDS2_351	0	NA
1CDS2_352	1	G1
1CDS2_353	0	NA
1CDS2_354	1	late-S/G2
1CDS2_355	1	G1
1CDS2_356	1	G1
1CDS2_357	1	early-S
1CDS2_358	0	NA
1CDS2_361	0	NA
1CDS2_362	0	NA
1CDS2_363	0	NA
1CDS2_364	1	pre-M
1CDS2_365	1	late-S/G2
1CDS2_366	1	G1
1CDS2_367	1	late-S/G2
1CDS2_368	1	late-S/G2
1CDS2_371	0	NA
1CDS2_372	0	NA
1CDS2_373	0	NA
1CDS2_374	1	early-S
1CDS2_375	1	late-S/G2
1CDS2_376	1	early-S
1CDS2_377	1	late-S/G2
1CDS2_378	1	late-S/G2
1CDS2_381	1	late-S/G2
1CDS2_382	1	late-S/G2
1CDS2_383	1	late-S/G2
1CDS2_384	1	late-S/G2
1CDS2_385	1	early-S
1CDS2_386	1	late-S/G2
1CDS2_387	1	G1
1CDS2_388	1	early-S
1CDS2_391	1	late-S/G2
1CDS2_392	1	early-S
1CDS2_393	1	late-S/G2
1CDS2_394	1	late-S/G2
1CDS2_395	1	late-S/G2
1CDS2_396	1	early-S
1CDS2_397	1	late-S/G2
1CDS2_398	1	early-S
1CDS2_401	1	late-S/G2
1CDS2_402	1	late-S/G2
1CDS2_403	1	late-S/G2
1CDS2_404	1	late-S/G2
1CDS2_405	1	G1
1CDS2_406	1	G1
1CDS2_407	1	late-S/G2
1CDS2_408	1	early-S
1CDS2_411	0	NA
1CDS2_412	1	G1
1CDS2_413	1	early-S
1CDS2_414	0	NA
1CDS2_415	1	late-S/G2
1CDS2_416	1	late-S/G2
1CDS2_417	1	pre-M
1CDS2_418	1	early-S
1CDS2_421	1	late-S/G2
1CDS2_422	1	pre-M
1CDS2_423	1	late-S/G2
1CDS2_424	1	late-S/G2
1CDS2_425	1	late-S/G2
1CDS2_426	1	early-S
1CDS2_427	0	NA
1CDS2_428	0	NA
1CDS2_431	1	late-S/G2
1CDS2_432	1	late-S/G2
1CDS2_433	1	early-S
1CDS2_434	1	late-S/G2
1CDS2_435	1	late-S/G2
1CDS2_436	1	late-S/G2
1CDS2_437	1	late-S/G2
1CDS2_438	1	late-S/G2
1CDS2_441	1	late-S/G2
1CDS2_442	0	NA
1CDS2_443	1	G1
1CDS2_444	1	late-S/G2
1CDS2_445	1	pre-M
1CDS2_446	1	pre-M
1CDS2_447	1	late-S/G2
1CDS2_448	1	G1
1CDS2_451	0	NA
1CDS2_452	1	G1
1CDS2_453	1	G1
1CDS2_454	1	early-S
1CDS2_455	1	post-M
1CDS2_456	1	late-S/G2
1CDS2_457	1	late-S/G2
1CDS2_458	1	late-S/G2
1CDS2_461	0	NA
1CDS2_462	1	early-S
1CDS2_463	0	NA
1CDS2_464	1	G1
1CDS2_465	1	late-S/G2
1CDS2_466	1	G1
1CDS2_467	1	early-S
1CDS2_468	1	late-S/G2
1CDS2_471	1	late-S/G2
1CDS2_472	1	G1
1CDS2_473	1	late-S/G2
1CDS2_474	1	early-S
1CDS2_475	0	NA
1CDS2_476	1	early-S
1CDS2_477	0	NA
1CDS2_478	1	late-S/G2
1CDS2_481	1	G1
1CDS2_482	1	late-S/G2
