bin1 bin2 count
1542 1793 30
1542 1794 41
1542 1795 34
1542 1796 20
1542 1797 27
1542 1798 24
1542 1799 25
1542 1800 30
1542 1801 23
1542 1802 22
1542 1803 29
1542 1804 24
1542 1805 16
1542 1806 28
1542 1807 26
1542 1808 16
1542 1812 15
1542 1813 15
1542 1816 15
1542 1821 16
1542 1826 15
1542 1841 33
1542 1913 32
1542 1914 34
1542 1915 23
1542 1916 31
1542 1917 28
1542 1918 25
1542 1919 37
1542 1920 23
1542 1921 37
1542 1922 33
1542 1923 54
1542 1924 30
1542 1925 22
1542 1926 26
1542 1930 15
1542 1931 18
1542 1932 23
1542 1934 21
1542 1935 15
1542 1936 16
1542 1938 17
1542 1939 16
1542 1950 15
1542 2033 51
1542 2034 33
1542 2035 32
1542 2036 43
1542 2037 36
1542 2038 47
1542 2039 37
1542 2040 41
1542 2041 36
1542 2042 38
1542 2043 29
1542 2044 34
1542 2045 28
1542 2046 38
1542 2047 30
1542 2048 32
1542 2049 31
1542 2050 28
1542 2051 26
1542 2052 28
1542 2053 28
1542 2054 19
1542 2055 17
1542 2057 19
1542 2058 20
1542 2059 15
1542 2060 24
1542 2062 19
1542 2063 15
1542 2064 20
1542 2065 22
1542 2066 25
1542 2067 19
1542 2068 24
1542 2071 17
1542 2129 254
1542 2137 38
1542 2138 46
1542 2139 32
1542 2140 35
1542 2141 28
1542 2142 33
1542 2143 21
1542 2144 25
1542 2145 18
1542 2146 29
1542 2147 22
1542 2148 27
1542 2149 21
1542 2150 25
1542 2151 23
1542 2152 16
1542 2153 18
1542 2154 17
1542 2155 22
1542 2156 16
1542 2160 15
1542 2162 16
1542 2166 16
1542 2170 16
1542 2236 73
1542 2237 53
1542 2238 32
1542 2239 22
1542 2240 18
1542 2241 16
1542 2242 39
1542 2243 36
1542 2244 31
1542 2245 33
1542 2246 18
1542 2247 26
1542 2248 28
1542 2249 24
1542 2250 26
1542 2251 23
1542 2252 23
1542 2253 21
1542 2254 22
1542 2255 15
1542 2256 16
1542 2257 24
1542 2259 16
1542 2260 19
1542 2262 16
1542 2263 19
1542 2265 19
1542 2268 17
1542 2332 52
1542 2343 15
1542 2423 20
1542 2424 18
1542 2426 16
1542 2427 16
1542 2432 16
1542 2433 22
1542 2439 20
1542 2487 18
1542 2488 22
1542 2491 22
1542 2492 19
1542 2493 20
1542 2494 19
1542 2495 17
1542 2498 16
1568 2167 24
1571 2444 26
1577 2200 18
1616 2055 25
1622 1838 23
1622 2065 17
1647 2272 68
1653 2455 20
1660 2480 17
1660 2481 28
1669 2283 19
1689 1859 25
1700 2566 25
1771 1888 23
1822 2337 16
1841 2129 254
1882 2192 18
2129 2139 17
2129 2150 15
2129 2151 16
2137 2332 17
2137 2423 17
2137 2434 15
2267 2454 17
