bin1 bin2 count p_value
6 3082 42 7.570719559635315e-52
7 3082 38 2.358962374139203e-45
8 3082 39 5.858668587077018e-47
9 3082 44 3.6386781568537035e-55
9 4996 25 8.868445539136803e-26
10 3082 31 1.7057586404388585e-34
11 3082 35 1.2872881772398647e-40
12 3082 35 1.2872881772398647e-40
13 3082 29 1.5968012925232774e-31
14 3082 33 1.5836047791475732e-37
15 3082 19 9.891801883173788e-18
16 3082 22 1.1606514941744021e-21
17 3082 21 2.4931284075527022e-20
18 3082 24 2.185139464922889e-24
19 3082 36 3.4991447983091375e-42
19 3234 19 9.891801883173788e-18
20 3082 36 3.4991447983091375e-42
21 3082 29 1.5968012925232774e-31
22 3082 28 4.623126239593428e-30
23 3082 18 1.818578050796008e-16
24 3082 19 9.891801883173788e-18
25 3082 24 2.185139464922889e-24
26 3082 35 1.2872881772398647e-40
27 3082 21 2.4931284075527022e-20
28 3082 21 2.4931284075527022e-20
29 3082 16 5.165548993571715e-14
30 3082 12 1.8833559272903783e-09
31 3082 19 9.891801883173788e-18
32 3082 12 1.8833559272903783e-09
33 1712 19 9.891801883173788e-18
33 3082 21 2.4931284075527022e-20
34 2951 12 1.8833559272903783e-09
34 3082 19 9.891801883173788e-18
35 2951 25 8.868445539136803e-26
37 3082 13 1.5211909709561621e-10
38 3082 12 1.8833559272903783e-09
42 3082 16 5.165548993571715e-14
43 2375 18 1.818578050796008e-16
43 3082 21 2.4931284075527022e-20
44 3082 17 3.1582702957019646e-15
45 3082 19 9.891801883173788e-18
46 3082 12 1.8833559272903783e-09
47 3082 12 1.8833559272903783e-09
48 3082 16 5.165548993571715e-14
50 3082 20 5.096336087792442e-19
51 3082 13 1.5211909709561621e-10
56 3082 17 3.1582702957019646e-15
60 3082 14 1.1382747128926725e-11
61 3082 18 1.818578050796008e-16
65 3082 12 1.8833559272903783e-09
67 3082 14 1.1382747128926725e-11
68 3082 19 9.891801883173788e-18
70 3082 22 1.1606514941744021e-21
71 3082 18 1.818578050796008e-16
72 3082 16 5.165548993571715e-14
73 3082 12 1.8833559272903783e-09
74 3082 16 5.165548993571715e-14
75 3082 16 5.165548993571715e-14
76 3082 18 1.818578050796008e-16
77 3082 16 5.165548993571715e-14
78 3082 14 1.1382747128926725e-11
79 3082 16 5.165548993571715e-14
81 3082 14 1.1382747128926725e-11
84 3082 14 1.1382747128926725e-11
86 3082 13 1.5211909709561621e-10
97 3138 15 7.929878019167991e-13
99 911 12 1.8833559272903783e-09
104 3082 17 3.1582702957019646e-15
111 4916 37 9.223026117510607e-44
113 3880 14 1.1382747128926725e-11
116 2504 16 5.165548993571715e-14
130 2546 19 9.891801883173788e-18
130 3832 19 9.891801883173788e-18
132 2703 40 1.4137946875113337e-48
134 1342 13 1.5211909709561621e-10
141 1569 13 1.5211909709561621e-10
148 3877 14 1.1382747128926725e-11
160 4659 19 9.891801883173788e-18
167 585 28 4.623126239593428e-30
169 4870 14 1.1382747128926725e-11
179 871 13 1.5211909709561621e-10
180 401 30 5.3139813785796465e-33
180 402 25 8.868445539136803e-26
180 403 26 3.449843903709848e-27
180 404 13 1.5211909709561621e-10
180 405 15 7.929878019167991e-13
180 411 13 1.5211909709561621e-10
180 1085 15 7.929878019167991e-13
180 1086 27 1.2881512988850655e-28
180 3082 79 1.9009167240522495e-119
186 1127 15 7.929878019167991e-13
195 1599 12 1.8833559272903783e-09
210 703 19 9.891801883173788e-18
214 2714 21 2.4931284075527022e-20
221 2137 17 3.1582702957019646e-15
222 1928 56 5.70290493353925e-76
225 2435 16 5.165548993571715e-14
233 4289 29 1.5968012925232774e-31
248 3690 12 1.8833559272903783e-09
251 1110 12 1.8833559272903783e-09
255 1747 16 5.165548993571715e-14
260 1213 22 1.1606514941744021e-21
270 3069 22 1.1606514941744021e-21
273 2397 57 9.08870030730258e-78
274 2052 13 1.5211909709561621e-10
277 3559 18 1.818578050796008e-16
277 3560 28 4.623126239593428e-30
287 2829 15 7.929878019167991e-13
295 912 16 5.165548993571715e-14
298 1159 12 1.8833559272903783e-09
304 3910 17 3.1582702957019646e-15
308 2610 12 1.8833559272903783e-09
309 2610 18 1.818578050796008e-16
310 4514 15 7.929878019167991e-13
318 1973 14 1.1382747128926725e-11
318 3216 25 8.868445539136803e-26
323 5040 25 8.868445539136803e-26
326 1419 13 1.5211909709561621e-10
328 3138 12 1.8833559272903783e-09
337 1126 14 1.1382747128926725e-11
343 4112 20 5.096336087792442e-19
347 3069 25 8.868445539136803e-26
347 4337 15 7.929878019167991e-13
359 2377 20 5.096336087792442e-19
365 1064 15 7.929878019167991e-13
401 3082 52 7.116296110223121e-69
401 4609 14 1.1382747128926725e-11
402 3082 35 1.2872881772398647e-40
403 3082 39 5.858668587077018e-47
404 3082 31 1.7057586404388585e-34
405 3082 42 7.570719559635315e-52
406 2495 24 2.185139464922889e-24
406 3082 46 1.5761404829786697e-58
407 3082 28 4.623126239593428e-30
408 3082 34 4.588667977575167e-39
409 3082 24 2.185139464922889e-24
410 3082 19 9.891801883173788e-18
411 3082 14 1.1382747128926725e-11
412 3082 15 7.929878019167991e-13
413 3082 16 5.165548993571715e-14
414 3082 22 1.1606514941744021e-21
415 3082 17 3.1582702957019646e-15
416 3082 19 9.891801883173788e-18
417 3082 26 3.449843903709848e-27
417 3640 16 5.165548993571715e-14
418 3082 23 5.152417492492256e-23
419 3082 29 1.5968012925232774e-31
420 3082 15 7.929878019167991e-13
421 3082 15 7.929878019167991e-13
422 3082 13 1.5211909709561621e-10
423 3082 12 1.8833559272903783e-09
424 3082 14 1.1382747128926725e-11
425 3082 18 1.818578050796008e-16
426 3082 16 5.165548993571715e-14
427 3082 13 1.5211909709561621e-10
430 3082 22 1.1606514941744021e-21
431 3082 25 8.868445539136803e-26
432 3082 20 5.096336087792442e-19
433 3082 21 2.4931284075527022e-20
434 3082 14 1.1382747128926725e-11
435 3082 17 3.1582702957019646e-15
436 3082 14 1.1382747128926725e-11
437 3082 14 1.1382747128926725e-11
440 2432 14 1.1382747128926725e-11
440 3082 12 1.8833559272903783e-09
444 3082 14 1.1382747128926725e-11
448 3082 13 1.5211909709561621e-10
459 1942 12 1.8833559272903783e-09
472 3082 16 5.165548993571715e-14
483 1887 28 4.623126239593428e-30
487 4017 34 4.588667977575167e-39
490 1068 14 1.1382747128926725e-11
507 2717 14 1.1382747128926725e-11
508 2717 51 3.9997928514972195e-67
509 2717 16 5.165548993571715e-14
515 2438 19 9.891801883173788e-18
521 1120 20 5.096336087792442e-19
521 1121 27 1.2881512988850655e-28
534 1665 12 1.8833559272903783e-09
534 1666 49 1.1787884728159034e-63
542 1290 32 5.2867361434731785e-36
542 1291 12 1.8833559272903783e-09
561 2159 17 3.1582702957019646e-15
563 2127 13 1.5211909709561621e-10
592 3082 17 3.1582702957019646e-15
593 5141 34 4.588667977575167e-39
594 2962 33 1.5836047791475732e-37
597 1052 19 9.891801883173788e-18
620 2141 20 5.096336087792442e-19
621 4076 15 7.929878019167991e-13
621 4077 14 1.1382747128926725e-11
622 920 24 2.185139464922889e-24
632 4844 22 1.1606514941744021e-21
637 3766 19 9.891801883173788e-18
638 2326 26 3.449843903709848e-27
638 3307 12 1.8833559272903783e-09
639 2326 15 7.929878019167991e-13
651 1269 29 1.5968012925232774e-31
654 2645 15 7.929878019167991e-13
657 3999 30 5.3139813785796465e-33
667 1478 28 4.623126239593428e-30
674 4011 36 3.4991447983091375e-42
683 957 22 1.1606514941744021e-21
687 4635 12 1.8833559272903783e-09
702 2664 21 2.4931284075527022e-20
702 3907 51 3.9997928514972195e-67
703 3907 21 2.4931284075527022e-20
704 2560 40 1.4137946875113337e-48
704 2561 24 2.185139464922889e-24
709 2991 18 1.818578050796008e-16
710 2991 16 5.165548993571715e-14
720 1203 33 1.5836047791475732e-37
729 1819 28 4.623126239593428e-30
758 4538 23 5.152417492492256e-23
765 3082 24 2.185139464922889e-24
766 3082 29 1.5968012925232774e-31
767 3082 17 3.1582702957019646e-15
768 3082 15 7.929878019167991e-13
769 3082 18 1.818578050796008e-16
770 3082 14 1.1382747128926725e-11
770 3950 14 1.1382747128926725e-11
771 3082 18 1.818578050796008e-16
772 3082 12 1.8833559272903783e-09
773 3082 16 5.165548993571715e-14
774 3082 18 1.818578050796008e-16
775 3082 26 3.449843903709848e-27
776 3082 29 1.5968012925232774e-31
777 3082 29 1.5968012925232774e-31
778 3082 25 8.868445539136803e-26
779 3082 13 1.5211909709561621e-10
780 3082 17 3.1582702957019646e-15
781 3082 12 1.8833559272903783e-09
791 3082 12 1.8833559272903783e-09
794 3082 15 7.929878019167991e-13
797 1388 26 3.449843903709848e-27
797 3082 18 1.818578050796008e-16
802 3082 14 1.1382747128926725e-11
803 3082 13 1.5211909709561621e-10
805 3082 12 1.8833559272903783e-09
806 5093 30 5.3139813785796465e-33
807 3797 19 9.891801883173788e-18
814 3082 15 7.929878019167991e-13
816 3082 12 1.8833559272903783e-09
820 3082 17 3.1582702957019646e-15
822 1419 12 1.8833559272903783e-09
823 1419 27 1.2881512988850655e-28
830 3828 26 3.449843903709848e-27
831 3082 14 1.1382747128926725e-11
832 1404 18 1.818578050796008e-16
832 3082 16 5.165548993571715e-14
832 3770 24 2.185139464922889e-24
837 3219 14 1.1382747128926725e-11
839 3082 12 1.8833559272903783e-09
849 3999 18 1.818578050796008e-16
865 3082 13 1.5211909709561621e-10
876 2869 15 7.929878019167991e-13
890 4550 13 1.5211909709561621e-10
908 1455 15 7.929878019167991e-13
911 3843 22 1.1606514941744021e-21
917 3711 15 7.929878019167991e-13
927 2026 12 1.8833559272903783e-09
931 4125 13 1.5211909709561621e-10
933 1714 25 8.868445539136803e-26
934 2412 21 2.4931284075527022e-20
935 1344 12 1.8833559272903783e-09
935 2474 36 3.4991447983091375e-42
947 2197 12 1.8833559272903783e-09
957 4121 12 1.8833559272903783e-09
957 4122 38 2.358962374139203e-45
957 4123 16 5.165548993571715e-14
961 4530 14 1.1382747128926725e-11
969 3743 18 1.818578050796008e-16
982 2193 22 1.1606514941744021e-21
990 3963 13 1.5211909709561621e-10
1013 5096 14 1.1382747128926725e-11
1014 3411 12 1.8833559272903783e-09
1023 2455 19 9.891801883173788e-18
1032 3877 29 1.5968012925232774e-31
1035 1140 39 5.858668587077018e-47
1049 3436 20 5.096336087792442e-19
1050 2678 14 1.1382747128926725e-11
1085 1703 54 2.105190131608275e-72
1085 1704 18 1.818578050796008e-16
1085 2003 19 9.891801883173788e-18
1085 2309 60 3.245250319070836e-83
1085 2310 13 1.5211909709561621e-10
1085 3082 26 3.449843903709848e-27
1085 3569 13 1.5211909709561621e-10
1085 4061 33 1.5836047791475732e-37
1086 3082 41 3.3170222491304295e-50
1086 4268 12 1.8833559272903783e-09
1087 3082 25 8.868445539136803e-26
1088 3082 24 2.185139464922889e-24
1089 3082 17 3.1582702957019646e-15
1090 3082 30 5.3139813785796465e-33
1091 3082 24 2.185139464922889e-24
1092 3082 16 5.165548993571715e-14
1093 3082 22 1.1606514941744021e-21
1094 3082 26 3.449843903709848e-27
1095 3082 24 2.185139464922889e-24
1096 3082 39 5.858668587077018e-47
1097 3082 14 1.1382747128926725e-11
1098 3082 26 3.449843903709848e-27
1099 3082 16 5.165548993571715e-14
1100 3082 22 1.1606514941744021e-21
1101 3082 33 1.5836047791475732e-37
