bin1 bin2 count p_value
6 3085 10 4.541782558329939e-14
7 3085 23 6.849119200206074e-39
8 3085 12 1.49800689966015e-17
9 3085 33 1.6033890023835606e-60
10 3085 33 1.6033890023835606e-60
10 5007 13 2.390830975878745e-19
10 5008 24 5.665371349526023e-41
11 3085 20 9.074679490440472e-33
12 3085 26 3.392265543978347e-45
13 2884 8 9.253997682279875e-11
13 3085 21 8.685335080017442e-35
14 3085 27 2.463077350016453e-47
15 3085 11 8.631204526814979e-16
16 3085 13 2.390830975878745e-19
17 3085 16 6.209362011484656e-25
18 3085 10 4.541782558329939e-14
19 3085 16 6.209362011484656e-25
19 3237 8 9.253997682279875e-11
20 3085 9 2.164787616338582e-12
21 3085 16 6.209362011484656e-25
22 3085 15 4.844581291711095e-23
23 3085 13 2.390830975878745e-19
24 3085 9 2.164787616338582e-12
25 3085 15 4.844581291711095e-23
26 3085 16 6.209362011484656e-25
27 3085 12 1.49800689966015e-17
28 3085 14 3.5296309805293866e-21
29 3085 14 3.5296309805293866e-21
30 3085 9 2.164787616338582e-12
31 3085 12 1.49800689966015e-17
32 3085 10 4.541782558329939e-14
33 1713 7 3.504726105503056e-09
33 1714 17 7.460814902921216e-27
33 3085 16 6.209362011484656e-25
34 3085 17 7.460814902921216e-27
35 2953 7 3.504726105503056e-09
35 3085 10 4.541782558329939e-14
36 3085 13 2.390830975878745e-19
37 3085 10 4.541782558329939e-14
38 3085 11 8.631204526814979e-16
39 3085 7 3.504726105503056e-09
40 3085 7 3.504726105503056e-09
41 3085 9 2.164787616338582e-12
42 2825 7 3.504726105503056e-09
42 3085 13 2.390830975878745e-19
43 3085 8 9.253997682279875e-11
44 2377 15 4.844581291711095e-23
45 3085 10 4.541782558329939e-14
46 3085 8 9.253997682279875e-11
48 3085 12 1.49800689966015e-17
49 3077 7 3.504726105503056e-09
49 3085 8 9.253997682279875e-11
52 3085 7 3.504726105503056e-09
53 3085 7 3.504726105503056e-09
54 3085 8 9.253997682279875e-11
55 3085 8 9.253997682279875e-11
57 3085 13 2.390830975878745e-19
58 3085 8 9.253997682279875e-11
66 3085 7 3.504726105503056e-09
67 3085 7 3.504726105503056e-09
67 3127 10 4.541782558329939e-14
68 3085 8 9.253997682279875e-11
71 1797 7 3.504726105503056e-09
76 3085 7 3.504726105503056e-09
76 3675 7 3.504726105503056e-09
80 3085 7 3.504726105503056e-09
86 3085 9 2.164787616338582e-12
87 3085 8 9.253997682279875e-11
88 3085 11 8.631204526814979e-16
97 3141 7 3.504726105503056e-09
98 3085 7 3.504726105503056e-09
99 913 7 3.504726105503056e-09
107 3085 7 3.504726105503056e-09
108 1907 7 3.504726105503056e-09
110 3085 7 3.504726105503056e-09
111 4926 42 2.760206366290351e-81
114 3887 7 3.504726105503056e-09
116 1652 8 9.253997682279875e-11
117 932 10 4.541782558329939e-14
117 4192 7 3.504726105503056e-09
118 3085 8 9.253997682279875e-11
121 1209 7 3.504726105503056e-09
122 3085 9 2.164787616338582e-12
124 4936 9 2.164787616338582e-12
130 725 7 3.504726105503056e-09
131 2547 12 1.49800689966015e-17
131 2548 9 2.164787616338582e-12
131 3839 10 4.541782558329939e-14
133 2706 18 8.432688325476247e-29
136 4657 7 3.504726105503056e-09
141 1571 9 2.164787616338582e-12
149 3883 7 3.504726105503056e-09
149 4526 7 3.504726105503056e-09
161 4668 14 3.5296309805293866e-21
168 585 10 4.541782558329939e-14
168 586 11 8.631204526814979e-16
170 4880 7 3.504726105503056e-09
179 873 17 7.460814902921216e-27
180 401 13 2.390830975878745e-19
180 402 10 4.541782558329939e-14
180 403 9 2.164787616338582e-12
180 1087 13 2.390830975878745e-19
180 1088 7 3.504726105503056e-09
180 1089 13 2.390830975878745e-19
180 3085 54 1.7221333384696752e-110
186 1128 11 8.631204526814979e-16
197 2257 10 4.541782558329939e-14
198 2755 8 9.253997682279875e-11
210 704 7 3.504726105503056e-09
215 2717 7 3.504726105503056e-09
221 2138 8 9.253997682279875e-11
222 1930 26 3.392265543978347e-45
223 1930 12 1.49800689966015e-17
234 4296 8 9.253997682279875e-11
234 4297 10 4.541782558329939e-14
239 4054 7 3.504726105503056e-09
256 1748 7 3.504726105503056e-09
260 1215 7 3.504726105503056e-09
270 1377 7 3.504726105503056e-09
270 2555 7 3.504726105503056e-09
271 1339 7 3.504726105503056e-09
271 2269 7 3.504726105503056e-09
271 3071 20 9.074679490440472e-33
272 704 7 3.504726105503056e-09
272 3251 7 3.504726105503056e-09
273 2399 16 6.209362011484656e-25
274 1331 7 3.504726105503056e-09
274 2053 7 3.504726105503056e-09
274 2054 8 9.253997682279875e-11
274 2399 30 7.426930607609437e-54
277 661 9 2.164787616338582e-12
277 1947 8 9.253997682279875e-11
278 3563 7 3.504726105503056e-09
278 3564 28 1.7172621269251437e-49
288 2831 10 4.541782558329939e-14
291 659 7 3.504726105503056e-09
295 913 10 4.541782558329939e-14
299 1160 9 2.164787616338582e-12
305 3916 22 7.90238574960726e-37
309 2613 23 6.849119200206074e-39
311 4523 11 8.631204526814979e-16
318 3220 19 8.993248631783676e-31
319 1974 12 1.49800689966015e-17
319 3220 8 9.253997682279875e-11
324 5052 7 3.504726105503056e-09
326 1421 7 3.504726105503056e-09
329 3141 15 4.844581291711095e-23
344 4118 7 3.504726105503056e-09
347 3071 15 4.844581291711095e-23
348 4345 13 2.390830975878745e-19
350 995 8 9.253997682279875e-11
360 2378 15 4.844581291711095e-23
365 725 7 3.504726105503056e-09
366 1065 8 9.253997682279875e-11
366 1066 12 1.49800689966015e-17
366 1691 7 3.504726105503056e-09
366 4889 8 9.253997682279875e-11
367 1691 7 3.504726105503056e-09
367 3275 7 3.504726105503056e-09
381 3905 11 8.631204526814979e-16
401 3085 19 8.993248631783676e-31
402 3085 34 8.971842090363009e-63
402 4618 15 4.844581291711095e-23
403 3085 25 4.48006818668276e-43
404 3085 16 6.209362011484656e-25
405 3085 25 4.48006818668276e-43
406 3085 21 8.685335080017442e-35
406 4479 7 3.504726105503056e-09
407 2497 24 5.665371349526023e-41
407 3085 12 1.49800689966015e-17
408 3085 21 8.685335080017442e-35
409 3085 18 8.432688325476247e-29
410 3085 9 2.164787616338582e-12
411 3085 11 8.631204526814979e-16
412 3085 10 4.541782558329939e-14
413 3085 11 8.631204526814979e-16
414 3085 14 3.5296309805293866e-21
415 3085 19 8.993248631783676e-31
416 3085 20 9.074679490440472e-33
417 3085 15 4.844581291711095e-23
418 3085 19 8.993248631783676e-31
418 3646 17 7.460814902921216e-27
419 3085 12 1.49800689966015e-17
419 3589 8 9.253997682279875e-11
420 3085 13 2.390830975878745e-19
421 3085 12 1.49800689966015e-17
422 3085 19 8.993248631783676e-31
423 2610 13 2.390830975878745e-19
423 3085 11 8.631204526814979e-16
424 3085 10 4.541782558329939e-14
425 3085 18 8.432688325476247e-29
426 3085 9 2.164787616338582e-12
427 3085 11 8.631204526814979e-16
428 3085 10 4.541782558329939e-14
430 3085 11 8.631204526814979e-16
431 3057 13 2.390830975878745e-19
431 3085 17 7.460814902921216e-27
432 3085 18 8.432688325476247e-29
433 3085 19 8.993248631783676e-31
434 3085 15 4.844581291711095e-23
435 3085 8 9.253997682279875e-11
436 3085 15 4.844581291711095e-23
437 3085 13 2.390830975878745e-19
440 3085 8 9.253997682279875e-11
441 3085 15 4.844581291711095e-23
442 3085 12 1.49800689966015e-17
443 2670 7 3.504726105503056e-09
443 3085 7 3.504726105503056e-09
444 3085 10 4.541782558329939e-14
445 3085 13 2.390830975878745e-19
446 3085 9 2.164787616338582e-12
448 4520 9 2.164787616338582e-12
449 1170 8 9.253997682279875e-11
450 2657 7 3.504726105503056e-09
450 4519 9 2.164787616338582e-12
453 4519 7 3.504726105503056e-09
455 1624 7 3.504726105503056e-09
455 4525 7 3.504726105503056e-09
455 4852 7 3.504726105503056e-09
456 2693 9 2.164787616338582e-12
457 4520 7 3.504726105503056e-09
457 4522 7 3.504726105503056e-09
457 4525 7 3.504726105503056e-09
458 4520 7 3.504726105503056e-09
458 4522 7 3.504726105503056e-09
458 4523 8 9.253997682279875e-11
458 4524 8 9.253997682279875e-11
459 1944 8 9.253997682279875e-11
459 4519 8 9.253997682279875e-11
459 4520 8 9.253997682279875e-11
459 4523 9 2.164787616338582e-12
463 1881 7 3.504726105503056e-09
464 1465 7 3.504726105503056e-09
464 2658 7 3.504726105503056e-09
466 3085 7 3.504726105503056e-09
470 3085 7 3.504726105503056e-09
473 3085 8 9.253997682279875e-11
483 1888 18 8.432688325476247e-29
487 1555 7 3.504726105503056e-09
488 4023 22 7.90238574960726e-37
493 2862 11 8.631204526814979e-16
500 3745 9 2.164787616338582e-12
508 2720 22 7.90238574960726e-37
509 2720 28 1.7172621269251437e-49
509 3802 10 4.541782558329939e-14
510 2720 9 2.164787616338582e-12
516 2439 10 4.541782558329939e-14
521 1122 9 2.164787616338582e-12
527 3085 8 9.253997682279875e-11
532 3052 8 9.253997682279875e-11
532 4535 7 3.504726105503056e-09
534 1667 29 1.1510946234824435e-51
534 1668 38 6.34984673458632e-72
534 3380 8 9.253997682279875e-11
539 3272 8 9.253997682279875e-11
542 1291 10 4.541782558329939e-14
542 1292 31 4.617487885837266e-56
549 4177 10 4.541782558329939e-14
562 2161 8 9.253997682279875e-11
564 2129 11 8.631204526814979e-16
578 3844 10 4.541782558329939e-14
592 3085 7 3.504726105503056e-09
594 5152 15 4.844581291711095e-23
595 2965 23 6.849119200206074e-39
603 2848 8 9.253997682279875e-11
620 2143 18 8.432688325476247e-29
621 4083 8 9.253997682279875e-11
623 922 21 8.685335080017442e-35
630 2272 7 3.504726105503056e-09
632 4854 17 7.460814902921216e-27
638 3772 14 3.5296309805293866e-21
639 2327 21 8.685335080017442e-35
639 3311 16 6.209362011484656e-25
651 1270 32 2.7691323964857773e-58
652 1270 7 3.504726105503056e-09
654 2648 14 3.5296309805293866e-21
656 2101 7 3.504726105503056e-09
657 4006 13 2.390830975878745e-19
658 4006 30 7.426930607609437e-54
667 1480 17 7.460814902921216e-27
675 4018 18 8.432688325476247e-29
683 958 11 8.631204526814979e-16
683 959 15 4.844581291711095e-23
687 4643 11 8.631204526814979e-16
692 2527 7 3.504726105503056e-09
696 1205 10 4.541782558329939e-14
700 4264 7 3.504726105503056e-09
701 2214 7 3.504726105503056e-09
702 2666 8 9.253997682279875e-11
702 3914 11 8.631204526814979e-16
703 3914 31 4.617487885837266e-56
704 1283 8 9.253997682279875e-11
704 3914 10 4.541782558329939e-14
704 4334 7 3.504726105503056e-09
705 2562 34 8.971842090363009e-63
705 2563 11 8.631204526814979e-16
705 3310 9 2.164787616338582e-12
708 3314 7 3.504726105503056e-09
709 1674 7 3.504726105503056e-09
709 1691 8 9.253997682279875e-11
710 2994 19 8.993248631783676e-31
712 3071 7 3.504726105503056e-09
712 3072 8 9.253997682279875e-11
712 5124 7 3.504726105503056e-09
716 4992 7 3.504726105503056e-09
719 3029 9 2.164787616338582e-12
721 1204 21 8.685335080017442e-35
722 3308 7 3.504726105503056e-09
724 3309 9 2.164787616338582e-12
725 3317 7 3.504726105503056e-09
726 3315 7 3.504726105503056e-09
727 2266 7 3.504726105503056e-09
727 3311 8 9.253997682279875e-11
727 3312 8 9.253997682279875e-11
727 3313 7 3.504726105503056e-09
729 1376 7 3.504726105503056e-09
729 3274 7 3.504726105503056e-09
729 3321 7 3.504726105503056e-09
730 1821 15 4.844581291711095e-23
730 2556 7 3.504726105503056e-09
731 3314 9 2.164787616338582e-12
731 3317 7 3.504726105503056e-09
731 3318 10 4.541782558329939e-14
732 3292 7 3.504726105503056e-09
732 3318 7 3.504726105503056e-09
733 1315 7 3.504726105503056e-09
740 3314 7 3.504726105503056e-09
755 1345 7 3.504726105503056e-09
755 1663 7 3.504726105503056e-09
755 3320 8 9.253997682279875e-11
755 3321 11 8.631204526814979e-16
755 3834 8 9.253997682279875e-11
756 1376 7 3.504726105503056e-09
756 3321 9 2.164787616338582e-12
756 3322 9 2.164787616338582e-12
