bin1 bin2 count p_value
105 3381 6 1.1599277094376248e-11
212 3280 6 1.1599277094376248e-11
323 1316 7 6.306066779870889e-14
392 3890 5 1.731941146054794e-09
415 1486 5 1.731941146054794e-09
489 2420 5 1.731941146054794e-09
489 2421 5 1.731941146054794e-09
673 3964 6 1.1599277094376248e-11
700 1381 5 1.731941146054794e-09
723 1530 6 1.1599277094376248e-11
758 775 9 1.1102230246251565e-16
758 4543 6 1.1599277094376248e-11
765 4469 6 1.1599277094376248e-11
765 4660 7 6.306066779870889e-14
769 3949 7 6.306066779870889e-14
828 3383 7 6.306066779870889e-14
1052 4190 7 6.306066779870889e-14
1085 4469 6 1.1599277094376248e-11
1085 4660 6 1.1599277094376248e-11
1165 4478 10 1.1102230246251565e-16
1195 4861 5 1.731941146054794e-09
1195 4862 6 1.1599277094376248e-11
1282 2696 6 1.1599277094376248e-11
1372 1814 10 1.1102230246251565e-16
1373 1814 10 1.1102230246251565e-16
1398 3083 7 6.306066779870889e-14
1457 3083 17 1.1102230246251565e-16
1457 4469 5 1.731941146054794e-09
1546 4953 5 1.731941146054794e-09
1551 4271 8 3.3306690738754696e-16
1752 3674 5 1.731941146054794e-09
1888 3281 5 1.731941146054794e-09
2240 3345 5 1.731941146054794e-09
2240 3624 5 1.731941146054794e-09
2258 2670 7 6.306066779870889e-14
2337 4782 8 3.3306690738754696e-16
2756 3105 5 1.731941146054794e-09
2977 3083 10 1.1102230246251565e-16
3040 4531 5 1.731941146054794e-09
3040 4577 6 1.1599277094376248e-11
3064 3453 5 1.731941146054794e-09
3083 4469 11 1.1102230246251565e-16
3083 4660 7 6.306066779870889e-14
3083 5179 13 1.1102230246251565e-16
3185 4207 5 1.731941146054794e-09
3238 3519 6 1.1599277094376248e-11
3399 4298 5 1.731941146054794e-09
4034 4115 5 1.731941146054794e-09
4207 4660 13 1.1102230246251565e-16
4538 4861 6 1.1599277094376248e-11
