bin1 bin2 count p_value
406 772 9 1.1102230246251565e-16
758 777 13 1.1102230246251565e-16
766 1086 6 1.1325751447799348e-10
766 2141 7 9.404699241599701e-13
766 4473 9 1.1102230246251565e-16
766 4665 7 9.404699241599701e-13
772 4304 14 1.1102230246251565e-16
901 2902 7 9.404699241599701e-13
1030 3321 6 1.1325751447799348e-10
1050 5239 6 1.1325751447799348e-10
1086 4473 8 6.5503158452884236e-15
1099 3798 9 1.1102230246251565e-16
1300 1461 6 1.1325751447799348e-10
1374 1815 14 1.1102230246251565e-16
1374 1833 7 9.404699241599701e-13
1374 3365 6 1.1325751447799348e-10
1458 3085 20 1.1102230246251565e-16
1537 3111 7 9.404699241599701e-13
1552 4276 12 1.1102230246251565e-16
1989 4592 6 1.1325751447799348e-10
2557 4762 8 6.5503158452884236e-15
2612 3422 9 1.1102230246251565e-16
2625 3359 6 1.1325751447799348e-10
2979 3085 13 1.1102230246251565e-16
3085 4473 13 1.1102230246251565e-16
3085 4665 6 1.1325751447799348e-10
3085 5185 12 1.1102230246251565e-16
3843 5241 6 1.1325751447799348e-10
3892 5241 6 1.1325751447799348e-10
4211 4276 6 1.1325751447799348e-10
4211 4665 11 1.1102230246251565e-16
4658 4965 6 1.1325751447799348e-10
